GSP_ID,GSP,Human Answers,Rocs_gpt41ftv3_trial5_20260426_214837
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.25
1,BigValley,Yes,1.0
1,BigValley,No,0.25
1,BigValley,Yes,1.0
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,1.0
1,BigValley,No,0.25
1,BigValley,No,1.0
1,BigValley,No,0.25
1,BigValley,NotApplicable,0.25
1,BigValley,Yes,1.0
1,BigValley,No,1.0
1,BigValley,Yes,1.0
1,BigValley,Yes,1.0
1,BigValley,Yes,0.15000000000000002
1,BigValley,No,1.0
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.0
1,BigValley,No,1.0
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.25
1,BigValley,Somewhat,0.25
1,BigValley,No,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,Yes,0.25
1,BigValley,Yes,1.0
1,BigValley,Yes,0.25
1,BigValley,No,0.25
1,BigValley,No,1.0
1,BigValley,Somewhat,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,Yes,1.0
1,BigValley,Yes,0.25
1,BigValley,Somewhat,1.0
1,BigValley,Somewhat,0.25
1,BigValley,No,0.0
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,1.0
1,BigValley,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Somewhat,1.0
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,No,1.0
14,East Contra Costa,Yes,1.0
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Somewhat,1.0
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,1.0
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,No,0.25
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,No,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,No,1.0
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,No,1.0
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Somewhat,1.0
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
15,Fillmore,Somewhat,0.25
15,Fillmore,Somewhat,1.0
15,Fillmore,Yes,1.0
15,Fillmore,NotApplicable,0.15000000000000002
15,Fillmore,Somewhat,0.25
15,Fillmore,Yes,1.0
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,1.0
15,Fillmore,Yes,0.25
15,Fillmore,Yes,1.0
15,Fillmore,No,1.0
15,Fillmore,Yes,0.25
15,Fillmore,Yes,0.25
15,Fillmore,NotApplicable,0.15000000000000002
15,Fillmore,Yes,1.0
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,1.0
15,Fillmore,Yes,1.0
15,Fillmore,Yes,1.0
15,Fillmore,Yes,1.0
15,Fillmore,Somewhat,1.0
15,Fillmore,Yes,1.0
15,Fillmore,No,1.0
15,Fillmore,No,1.0
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.25
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,Somewhat,0.25
15,Fillmore,Somewhat,0.25
15,Fillmore,Yes,1.0
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,1.0
15,Fillmore,Somewhat,1.0
15,Fillmore,Somewhat,1.0
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.0
15,Fillmore,No,0.25
15,Fillmore,No,0.25
15,Fillmore,Somewhat,1.0
15,Fillmore,No,0.25
15,Fillmore,No,0.0
15,Fillmore,Yes,0.25
15,Fillmore,Somewhat,0.25
15,Fillmore,Somewhat,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Yes,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,1.0
30,Sonoma,Yes,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,1.0
30,Sonoma,No,0.25
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,1.0
30,Sonoma,Somewhat,0.25
30,Sonoma,Somewhat,1.0
30,Sonoma,No,1.0
30,Sonoma,Somewhat,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,No,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,No,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,0.25
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,No,1.0
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,NotApplicable,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,No,1.0
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,No,0.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
